disease,dimension,value,rationale,source_file,source_path,anchor,evidence_quote,evidence_method,authority_level,effective_status,retrieved_at
유행성이하선염,vaccination,1,공식 예방접종 기준 또는 접종대상 확인 행동이 존재함,유행성이하선염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\유행성이하선염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기.md,접종 대상,"선염은 '볼거리'라고도 하며, 귀 아래의 침샘이 부어오르고 열과 두통이 동반되는 감염성 바이러스 질환입니다. ### 예방접종 실시 기준 및 방법 #### 접종 대상 - 생후 12개월 이상의 모든 소아 - 생후 12개월 이후에 유행성이하선염이 포함된 백신의 접종력이 없거나, 검사를 통해 확진된 병력이 없고, 항체가 확인되지 않은 청소년 및 성인 #### 접종 일정 및 방법 - 접종 시기 - 소아 : 생후 12-15개월, 4-6세 총 2회 접종 - 청소년 및 성인",anchor_match,A,current,2026-07-02
유행성이하선염,region_season,0,공식 문서에 예방·대응 근거는 있으나 지역·월 입력과 직접 연결할 특정 위험지역·유행월 행동 기준은 채택하지 않음,유행성이하선염_질병관리청_국가건강정보포털.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\유행성이하선염_질병관리청_국가건강정보포털.md,예방,"것이 특징이나, 임산부가 감염되면 태아에 선천성 기형을 일으킬 수 있습니다. • 세 질환 모두 특별한 치료법은 없으며, MMR 백신 접종이 가장 효과적인 예방법입니다. ### 개요 홍역은 전염성이 매우 높은 급성 유행성 감염병으로 주로 소아에서 발생합니다. 홍역에 걸리면 대개 건강하게 회복하지만, 호흡기 및 중추 신경계에 심한 합병증이 동반될 수도 있습니다. 홍역에 한 번 걸린 후 회복되면 평생 면역을 획득하여 다시 걸리지 않습니다. 볼거리는 유행성 이하선염이",documented_rule_no_specific_trigger,A,current,2026-07-02
유행성이하선염,exposure_prevention,1,노출 회피·위생·매개체 차단 등 구체적인 예방행동이 제시됨,유행성이하선염_질병관리청_국가건강정보포털.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\유행성이하선염_질병관리청_국가건강정보포털.md,전파,"격리 기간은 발진이 나타나기 4일 전부터 발진이 시작된 후 4일입니다. 2\. 볼거리 볼거리는 바이러스로 오염된 침방울(비말), 타액 및 매개체에 의하여 전파되는 감염병입니다. 전염력이 있는 시기는 귀밑샘이 붓기 1~2일 전부터 5일까지입니다. 3\. 풍진 풍진은 비말 감염, 직접 접촉, 또는 태반을 통해 어머니로부터 전파되는 감염병입니다. 홍역만큼은 아니지만 전염력이 높아 집단 내 전파가 쉽고, 가족 내에서 발생하면 50~60% 정도 전염됩니다. 풍진은 증상",anchor_match,A,current,2026-07-02
유행성이하선염,early_response,1,증상 인지 후 보고·진료·조기치료 행동이 제시됨,유행성이하선염_질병관리청_국가건강정보포털.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\유행성이하선염_질병관리청_국가건강정보포털.md,치료,"다. • 풍진은 가벼운 발열과 발진, 림프절이 붓는 것이 특징이나, 임산부가 감염되면 태아에 선천성 기형을 일으킬 수 있습니다. • 세 질환 모두 특별한 치료법은 없으며, MMR 백신 접종이 가장 효과적인 예방법입니다. ### 개요 홍역은 전염성이 매우 높은 급성 유행성 감염병으로 주로 소아에서 발생합니다. 홍역에 걸리면 대개 건강하게 회복하지만, 호흡기 및 중추 신경계에 심한 합병증이 동반될 수도 있습니다. 홍역에 한 번 걸린 후 회복되면 평생 면역을 획득하",anchor_match,A,current,2026-07-02
유행성이하선염,navigation,1,군 장병의 진료·후송·민간의료 확인 경로가 현행 국방 훈령에 규정됨,0702\행정규칙 _ 국방 환자관리 훈령.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\0702\행정규칙 _ 국방 환자관리 훈령.md,제6조,군 참모총장(의무실장)이나 국군의무사령관이 군보건의료기관의 진료능력이 허용하는 한도 내에서 인정하는 경우 진료 지원할 수 있다. 제2장 외래 및 입원진료 제6조(외래 및 입원환자 진료) ① 소속 부대(기관)의 장은 진료가 필요한 장병이 지체 없이 군보건의료기관 또는 민간의료기관에서 진료를 받을 수 있도록 적절한 조치를 취해야 한다. ② [제5조](#AJAX)에 명시된 사람이 군보건의료기관을 이용하는 경우는 가장 가까운 군보건의료기관 또는 상급 군보건의료기관에서,anchor_match,A,current,2026-07-02
백일해,vaccination,1,공식 예방접종 기준 또는 접종대상 확인 행동이 존재함,백일해_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\백일해_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기.md,접종 대상,"없으나, 여름과 가을에 증가하는 경향을 보이며 전염성이 매우 높아 가족 내 2차 발병률이 80%에 달합니다. ### 예방접종 실시 기준 및 방법 #### 접종 대상 : 모든 영유아 및 소아, 청소년 및 성인 #### 접종 일정 및 방법 (영유아 및 소아) - 접종 백신 : DTaP, DTaP-IPV, DTaP-IPV/Hib, DTaP-IPV-Hib-HepB - 접종 일정 <table class=""table02""><caption class=""blind"">파상풍",anchor_match,A,current,2026-07-02
백일해,region_season,0,공식 문서에 예방·대응 근거는 있으나 지역·월 입력과 직접 연결할 특정 위험지역·유행월 행동 기준은 채택하지 않음,백일해_질병관리청_국가건강정보포털.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\백일해_질병관리청_국가건강정보포털.md,예방,"신고해야 합니다. • 증상은 처음에는 감기처럼 시작되다가 수 주간 발작적인 기침이 이어지고, 구토나 무호흡 같은 합병증이 특히 영아에서 위험합니다. • 예방은 DTaP/Tdap 백신 접종이 가장 중요하며, 임산부가 접종하면 신생아 보호 효과가 있습니다. • 치료는 주로 마크로라이드계 항생제를 사용하며, 환자와 밀접 접촉한 사람은 항생제 예방요법과 함께 격리·관찰이 필요합니다. ### 개요-신고 대상 및 방법 **1\. 신고 범위**: 환자, 의사환자 **2\",documented_rule_no_specific_trigger,A,current,2026-07-02
백일해,exposure_prevention,1,노출 회피·위생·매개체 차단 등 구체적인 예방행동이 제시됨,백일해_질병관리청_국가건강정보포털.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\백일해_질병관리청_국가건강정보포털.md,호흡기,". **• 슈퍼클래스 :**질병 및 장애 **• 콘텐츠명 :** 백일해 ### 요약문 **'이것만은 꼭 기억하세요'** • 백일해는 백일해균에 의한 급성 호흡기 감염병으로, 기침이나 침방울(비말)을 통해 사람 간 전파됩니다. • 환자는 검사로 감염이 확인된 경우이고, 검사 결과가 불확실하지만 증상과 전파 경로상 의심되면 의사환자로 분류되며, 진단되면 24시간 이내 보건소에 신고해야 합니다. • 증상은 처음에는 감기처럼 시작되다가 수 주간 발작적인 기침이 이어지",anchor_match,A,current,2026-07-02
백일해,early_response,1,증상 인지 후 보고·진료·조기치료 행동이 제시됨,백일해_질병관리청_국가건강정보포털.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\백일해_질병관리청_국가건강정보포털.md,치료,"흡 같은 합병증이 특히 영아에서 위험합니다. • 예방은 DTaP/Tdap 백신 접종이 가장 중요하며, 임산부가 접종하면 신생아 보호 효과가 있습니다. • 치료는 주로 마크로라이드계 항생제를 사용하며, 환자와 밀접 접촉한 사람은 항생제 예방요법과 함께 격리·관찰이 필요합니다. ### 개요-신고 대상 및 방법 **1\. 신고 범위**: 환자, 의사환자 **2\. 신고를 위한 진단기준** • 환자: 백일해에 해당하는 증상을 보이면서, 검사를 통해 백일해 병원균에 감",anchor_match,A,current,2026-07-02
백일해,navigation,1,군 장병의 진료·후송·민간의료 확인 경로가 현행 국방 훈령에 규정됨,0702\행정규칙 _ 국방 환자관리 훈령.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\0702\행정규칙 _ 국방 환자관리 훈령.md,제6조,군 참모총장(의무실장)이나 국군의무사령관이 군보건의료기관의 진료능력이 허용하는 한도 내에서 인정하는 경우 진료 지원할 수 있다. 제2장 외래 및 입원진료 제6조(외래 및 입원환자 진료) ① 소속 부대(기관)의 장은 진료가 필요한 장병이 지체 없이 군보건의료기관 또는 민간의료기관에서 진료를 받을 수 있도록 적절한 조치를 취해야 한다. ② [제5조](#AJAX)에 명시된 사람이 군보건의료기관을 이용하는 경우는 가장 가까운 군보건의료기관 또는 상급 군보건의료기관에서,anchor_match,A,current,2026-07-02
A형간염,vaccination,1,공식 예방접종 기준 또는 접종대상 확인 행동이 존재함,A형간염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\A형간염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기.md,접종 대상,"A virus, HAV)에 의하여 발생하는 간염으로 환경 및 위생개선과 적절한 예방조치로 예방이 가능합니다. ### 예방접종 실시 기준 및 방법 #### 접종 대상 - 생후 12~23개월의 모든 소아 - A형간염 바이러스의 감염 위험이 높은 상황 - A형간염의 유행지역으로의 여행자나 장기 체류자 - 남성 동성애자 - 불법 약물 남용자 - 직업적으로 노출될 위험이 있는 자(실험실 종사자, 의료인, 군인 등) - A형간염 바이러스에 감염되면 중증 질환으로 발전될",anchor_match,A,current,2026-07-02
A형간염,region_season,0,공식 문서에 예방·대응 근거는 있으나 지역·월 입력과 직접 연결할 특정 위험지역·유행월 행동 기준은 채택하지 않음,A형간염_질병관리청 국가건강정보포털.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\A형간염_질병관리청 국가건강정보포털.md,예방 및 예방접종,"GOT) 수치보다 훨씬 증가하게 됩니다. 황달을 진단하는 혈청 빌리루빈 수치는 대개 10 이상 증가하며, 기타 염증 인자 수치도 증가하게 됩니다. ### 예방 및 예방접종 • 공중 보건위생 : 손 씻기, 상하수도 정비, 식수원 오염방지, 식품 및 식품 취급자 위생관리 등이 중요합니다. • A형간염 백신 접종 1회 접종 후 6~12개월이 지나면 1회 더 접종하며, 면역은 20년 이상 지속됩니다. 다음의 상황에서 우선적으로 접종합니다. \- 12~23개월의 모든",documented_rule_no_specific_trigger,A,current,2026-07-02
A형간염,exposure_prevention,1,노출 회피·위생·매개체 차단 등 구체적인 예방행동이 제시됨,A형간염_질병관리청 국가건강정보포털.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\A형간염_질병관리청 국가건강정보포털.md,손 씻기,"황달을 진단하는 혈청 빌리루빈 수치는 대개 10 이상 증가하며, 기타 염증 인자 수치도 증가하게 됩니다. ### 예방 및 예방접종 • 공중 보건위생 : 손 씻기, 상하수도 정비, 식수원 오염방지, 식품 및 식품 취급자 위생관리 등이 중요합니다. • A형간염 백신 접종 1회 접종 후 6~12개월이 지나면 1회 더 접종하며, 면역은 20년 이상 지속됩니다. 다음의 상황에서 우선적으로 접종합니다. \- 12~23개월의 모든 소아 \- A형간염에 대한 면역력이 없는",anchor_match,A,current,2026-07-02
A형간염,early_response,1,증상 인지 후 보고·진료·조기치료 행동이 제시됨,A형간염_질병관리청 국가건강정보포털.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\A형간염_질병관리청 국가건강정보포털.md,의사의 진료,"구역, 전신 쇠약감 등의 일반적인 증상으로 시작합니다. 일반적인 치료에도 불구하고 증상이 나아지지 않고, 황달 등의 간염의 특징적인 증상들이 발생할 때는 의사의 진료를 받는 것이 좋습니다. 2\. 환자 관리 증상과 전염성이 사라질 때까지 입원 치료가 필요할 수 있습니다. A형간염은 대부분 환자의 대변으로 전파되므로 장내 배설물을 격리하고, 발병 후 2주간 또는 황달 발생 1주간은 전염력이 높으므로 이 기간 동안에는 손 씻기 등 개인위생을 철저히 지키는 것이 중",anchor_match,A,current,2026-07-02
A형간염,navigation,1,군 장병의 진료·후송·민간의료 확인 경로가 현행 국방 훈령에 규정됨,0702\행정규칙 _ 국방 환자관리 훈령.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\0702\행정규칙 _ 국방 환자관리 훈령.md,제6조,군 참모총장(의무실장)이나 국군의무사령관이 군보건의료기관의 진료능력이 허용하는 한도 내에서 인정하는 경우 진료 지원할 수 있다. 제2장 외래 및 입원진료 제6조(외래 및 입원환자 진료) ① 소속 부대(기관)의 장은 진료가 필요한 장병이 지체 없이 군보건의료기관 또는 민간의료기관에서 진료를 받을 수 있도록 적절한 조치를 취해야 한다. ② [제5조](#AJAX)에 명시된 사람이 군보건의료기관을 이용하는 경우는 가장 가까운 군보건의료기관 또는 상급 군보건의료기관에서,anchor_match,A,current,2026-07-02
일본뇌염,vaccination,1,공식 예방접종 기준 또는 접종대상 확인 행동이 존재함,일본뇌염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\일본뇌염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기.md,접종 대상,"일으키는 질환입니다. 일단 일본뇌염에 걸리면 특별한 치료방법이 없으므로 백신 접종을 통한 예방이 최선입니다. ### 예방접종 실시 기준 및 방법 #### 접종 대상 - 생후 12개월 이상의 모든 소아 - 면역이 없는 18세 이상 성인 - 위험지역(논, 돼지 축사 인근)에 거주하거나 전파시기에 위험지역에서 활동 예정인 경우 - 비유행 지역에서 이주하여 국내에 장기 거주할 외국인 - 일본뇌염 유행국가 여행자 - 일본뇌염 바이러스에 노출될 수 있는 실험실 근무자 #",anchor_match,A,current,2026-07-02
일본뇌염,region_season,1,공식 위험지역·주의보·계절 노출 정보가 지역·월 입력과 직접 연결됨,전국 일본뇌염 주의보 발령(3.20.금).md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\전국 일본뇌염 주의보 발령(3.20.금).md,주의보,‘윙~’소리가 들린다면 주의하세요 전국 일본뇌염 주의보 발령 \- 일본뇌염 매개모기(작은빨간집모기)가 올해 최초 제주특별자치도에서 확인 \- 일본뇌염 전국 주의보 발령(3월 20일) 및 예방접종 대상자 접종 당부 질병관리청(청장 임승관)은 3월 20일 제주특별자치도에서 올해 처음으로 일본뇌염을 매개하는 ‘작은빨간집모기(Culex tritaeniorhynch,anchor_match,A,current,2026-07-02
일본뇌염,exposure_prevention,1,노출 회피·위생·매개체 차단 등 구체적인 예방행동이 제시됨,일본뇌염_질병관리청_국가건강정보포털.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\일본뇌염_질병관리청_국가건강정보포털.md,모기,"임은 없음을 밝혀드립니다. 자세한 내용은 전문가와 상담하시기 바랍니다. **• 슈퍼클래스 :**질병 및 장애 **• 콘텐츠명 :** 일본뇌염 ### 개요 모기를 통해 전파되는 감염병중 하나로 일본뇌염 바이러스(Japanese encephalitis virus)가 원인입니다. 병 이름으로도 알 수 있듯이, 사람이 감염되면 뇌에 염증(뇌염)을 유발하여 신경학적 손상과 후유증이 발생할 수 있어서 각별한 관심이 필요한 질환입니다. 주로 아시아와 서태평양 국가에서 보고",anchor_match,A,current,2026-07-02
일본뇌염,early_response,1,증상 인지 후 보고·진료·조기치료 행동이 제시됨,일본뇌염_질병관리청_국가건강정보포털.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\일본뇌염_질병관리청_국가건강정보포털.md,치료,"수 있어서 각별한 관심이 필요한 질환입니다. 주로 아시아와 서태평양 국가에서 보고되고 있으며, 우리나라에서도 매년 수십 명의 환자가 발생하고 있습니다. 치료제가 없으므로 일본뇌염 백신 접종과 함께 모기에게 물리지 않도록 하는 예방이 중요합니다. ### 개요-신고 대상 및 방법 1\. 신고범위: 환자, 의사환자 2\. 신고를 위한 진단기준 ⦁ 환자: 일본뇌염에 부합되는 임상증상을 나타내면서 확인 진단을 위한 검사기준에 따라 감염병병원체 감염이 확인된 사람 ⦁",anchor_match,A,current,2026-07-02
일본뇌염,navigation,1,군 장병의 진료·후송·민간의료 확인 경로가 현행 국방 훈령에 규정됨,0702\행정규칙 _ 국방 환자관리 훈령.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\0702\행정규칙 _ 국방 환자관리 훈령.md,제6조,군 참모총장(의무실장)이나 국군의무사령관이 군보건의료기관의 진료능력이 허용하는 한도 내에서 인정하는 경우 진료 지원할 수 있다. 제2장 외래 및 입원진료 제6조(외래 및 입원환자 진료) ① 소속 부대(기관)의 장은 진료가 필요한 장병이 지체 없이 군보건의료기관 또는 민간의료기관에서 진료를 받을 수 있도록 적절한 조치를 취해야 한다. ② [제5조](#AJAX)에 명시된 사람이 군보건의료기관을 이용하는 경우는 가장 가까운 군보건의료기관 또는 상급 군보건의료기관에서,anchor_match,A,current,2026-07-02
신증후군출혈열,vaccination,1,공식 예방접종 기준 또는 접종대상 확인 행동이 존재함,신증후군출혈열_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\신증후군출혈열_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기.md,접종 대상,ridae과의 Hantavirus 속에 포함되는 여러 종의 바이러스에 의한 설치류 매개 인수공통감염병입니다. ### 예방접종 실시 기준 및 방법 #### 접종 대상 : 19세 이상의 성인으로 다음의 대상자 중 위험요인 및 환경을 고려하여 제한적으로 접종 - 군인 및 농부 등 직업적으로 신증후군출혈열 바이러스에 노출될 위험이 높은 집단 - 신증후군출혈열 바이러스를 다루거나 쥐 실험을 하는 실험실 요원 - 야외활동이 빈번한 사람 등 개별적 노출 위험이 크다고 판단,anchor_match,A,current,2026-07-02
신증후군출혈열,region_season,1,공식 위험지역·주의보·계절 노출 정보가 지역·월 입력과 직접 연결됨,2026년도 진드기설치류 매개 감염병 관리지침-전자용.pdf,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\2026년도 진드기설치류 매개 감염병 관리지침-전자용.pdf,신증후군출혈열,"행의 효율성을 제고하기 위함 지침 안내문 ∙본 지침은 진드기매개감염병(쯔쯔가무시증, 중증열성혈소판감소증후군, 라임병, 진드기매개뇌염) 및 설치류매개감염병(신증후군출혈열, 렙토스피라증, 발진열, 발진 티푸스)의예방 및 관리를 위하여 감시, 역학조사, 실험실검사, 환자관리, 환경관리 등 업무수행에 필요한 지침을 제공하고자 제작하였습니다. ∙본 지침에 수록되지 않은 내용은 다음 지침을 참고하시기 바랍니다. - 2026년 감염병 관리 사업 안내: 감염병감시, 역학조사",anchor_match,A,current,2026-07-02
신증후군출혈열,exposure_prevention,1,노출 회피·위생·매개체 차단 등 구체적인 예방행동이 제시됨,신증후군출혈열(한타바이러스감염증)_질병관리청_국가건강정보포털.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\신증후군출혈열(한타바이러스감염증)_질병관리청_국가건강정보포털.md,설치류,"출혈열)은 한탄바이러스와 서울바이러스에 의해 생기는 급성 열성 질환으로, 주로 늦가을(10~12월)에 많이 발생합니다. • 이 바이러스는 등줄쥐·집쥐 등 설치류의 소변·분변·타액이 건조되며 생긴 먼지를 들이마실 때 감염됩니다. • 감염되면 갑작스러운 고열, 심한 두통, 복통·요통, 출혈 경향, 그리고 심할 경우 신부전이 나타날 수 있습니다. • 병의 경과는 발열기–저혈압기–핍뇨기–이뇨기–회복기의 단계로 진행되며, 저혈압기와 핍뇨기에는 중증 위험이 높습니다. •",anchor_match,A,current,2026-07-02
